2022-08-08 11:12:06,253 | INFO | LOG

2022-08-08 11:12:07,162 | INFO | Start call API

2022-08-08 11:12:07,162 | INFO | RFID code: 00DD20220702000058000137

2022-08-08 11:12:07,162 | INFO | API key: aip_rtsa_20220516_1

2022-08-08 11:12:07,163 | INFO | Try start

2022-08-08 11:12:07,375 | INFO | Try end

2022-08-08 11:12:07,375 | INFO | {"rfid":"00DD20220702000058000137","api_key":"aip_rtsa_20220516_1"}

2022-08-08 11:12:07,375 | INFO | Finally

2022-08-08 11:12:07,375 | INFO | POST API: {"rfid":"00DD20220702000058000137","api_key":"aip_rtsa_20220516_1"}

2022-08-08 11:12:07,507 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784834005288","jancode_2":"1928795009000","rfid":"00DD20220702000058000137"},"message":"変換に成功しました。"}

2022-08-08 11:12:16,081 | INFO | Start call API

2022-08-08 11:12:16,081 | INFO | RFID code: 00DD20220702000058000137

2022-08-08 11:12:16,082 | INFO | API key: aip_rtsa_20220516_1

2022-08-08 11:12:16,082 | INFO | Try start

2022-08-08 11:12:16,082 | INFO | Try end

2022-08-08 11:12:16,082 | INFO | {"rfid":"00DD20220702000058000137","api_key":"aip_rtsa_20220516_1"}

2022-08-08 11:12:16,082 | INFO | Finally

2022-08-08 11:12:16,083 | INFO | POST API: {"rfid":"00DD20220702000058000137","api_key":"aip_rtsa_20220516_1"}

2022-08-08 11:12:16,106 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784834005288","jancode_2":"1928795009000","rfid":"00DD20220702000058000137"},"message":"変換に成功しました。"}

