2022-08-03 16:03:50,276 | INFO | LOG

2022-08-03 16:03:52,765 | INFO | Start call API

2022-08-03 16:03:52,765 | INFO | RFID code: 00DD20220703000058000998

2022-08-03 16:03:52,765 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:03:52,766 | INFO | Try start

2022-08-03 16:03:52,981 | INFO | Try end

2022-08-03 16:03:52,981 | INFO | {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:03:52,981 | INFO | Finally

2022-08-03 16:03:52,981 | INFO | POST API: {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:03:53,062 | INFO | Result content: {"code":"02","data":null,"message":"RFIDは存在しません。"}

2022-08-03 16:03:53,493 | INFO | Start call API

2022-08-03 16:03:53,503 | INFO | RFID code: 00DD20220702000058000287

2022-08-03 16:03:53,503 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:03:53,504 | INFO | Try start

2022-08-03 16:03:53,504 | INFO | Try end

2022-08-03 16:03:53,504 | INFO | {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:03:53,504 | INFO | Finally

2022-08-03 16:03:53,504 | INFO | POST API: {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:03:53,523 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000287"},"message":"変換に成功しました。"}

2022-08-03 16:04:42,303 | INFO | Start call API

2022-08-03 16:04:42,303 | INFO | RFID code: 00DD20220702000058000108

2022-08-03 16:04:42,303 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:04:42,304 | INFO | Try start

2022-08-03 16:04:42,304 | INFO | Try end

2022-08-03 16:04:42,304 | INFO | {"rfid":"00DD20220702000058000108","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:04:42,304 | INFO | Finally

2022-08-03 16:04:42,305 | INFO | POST API: {"rfid":"00DD20220702000058000108","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:04:42,328 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000108"},"message":"変換に成功しました。"}

2022-08-03 16:05:03,324 | INFO | Start call API

2022-08-03 16:05:03,325 | INFO | RFID code: 00DD20220702000058000108

2022-08-03 16:05:03,325 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:03,325 | INFO | Try start

2022-08-03 16:05:03,325 | INFO | Try end

2022-08-03 16:05:03,326 | INFO | {"rfid":"00DD20220702000058000108","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:03,326 | INFO | Finally

2022-08-03 16:05:03,326 | INFO | POST API: {"rfid":"00DD20220702000058000108","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:03,352 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000108"},"message":"変換に成功しました。"}

2022-08-03 16:05:03,353 | INFO | Start call API

2022-08-03 16:05:03,353 | INFO | RFID code: 00DD20220703000058000998

2022-08-03 16:05:03,354 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:03,354 | INFO | Try start

2022-08-03 16:05:03,354 | INFO | Try end

2022-08-03 16:05:03,354 | INFO | {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:03,354 | INFO | Finally

2022-08-03 16:05:03,355 | INFO | POST API: {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:03,368 | INFO | Result content: {"code":"02","data":null,"message":"RFIDは存在しません。"}

2022-08-03 16:05:09,025 | INFO | Start call API

2022-08-03 16:05:09,025 | INFO | RFID code: 00DD20220702000058000287

2022-08-03 16:05:09,026 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:09,026 | INFO | Try start

2022-08-03 16:05:09,026 | INFO | Try end

2022-08-03 16:05:09,026 | INFO | {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:09,026 | INFO | Finally

