2022-08-04 14:44:45,704 | INFO | LOG

2022-08-04 14:45:05,763 | INFO | Start call API

2022-08-04 14:45:05,763 | INFO | RFID code: 00DD20220702000058000119

2022-08-04 14:45:05,764 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:45:05,764 | INFO | Try start

2022-08-04 14:45:05,970 | INFO | Try end

2022-08-04 14:45:05,970 | INFO | {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:45:05,970 | INFO | Finally

2022-08-04 14:45:05,970 | INFO | POST API: {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:45:06,066 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784769022220","jancode_2":"1928798015008","rfid":"00DD20220702000058000119"},"message":"変換に成功しました。"}

2022-08-04 14:50:14,351 | INFO | Start call API

2022-08-04 14:50:14,352 | INFO | RFID code: 00DD20220702000058000119

2022-08-04 14:50:14,352 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:14,352 | INFO | Try start

2022-08-04 14:50:14,353 | INFO | Try end

2022-08-04 14:50:14,353 | INFO | {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:14,353 | INFO | Finally

2022-08-04 14:50:14,353 | INFO | POST API: {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:14,386 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784769022220","jancode_2":"1928798015008","rfid":"00DD20220702000058000119"},"message":"変換に成功しました。"}

2022-08-04 14:50:14,387 | INFO | Start call API

2022-08-04 14:50:14,387 | INFO | RFID code: 00DD20220702000058000116

2022-08-04 14:50:14,387 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:14,388 | INFO | Try start

2022-08-04 14:50:14,388 | INFO | Try end

2022-08-04 14:50:14,388 | INFO | {"rfid":"00DD20220702000058000116","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:14,388 | INFO | Finally

2022-08-04 14:50:14,388 | INFO | POST API: {"rfid":"00DD20220702000058000116","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:14,402 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784591096369","jancode_2":"1928782020001","rfid":"00DD20220702000058000116"},"message":"変換に成功しました。"}

2022-08-04 14:50:15,166 | INFO | Start call API

2022-08-04 14:50:15,166 | INFO | RFID code: 00DD20220702000058000117

2022-08-04 14:50:15,167 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:15,167 | INFO | Try start

2022-08-04 14:50:15,167 | INFO | Try end

2022-08-04 14:50:15,167 | INFO | {"rfid":"00DD20220702000058000117","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:15,167 | INFO | Finally

2022-08-04 14:50:15,168 | INFO | POST API: {"rfid":"00DD20220702000058000117","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:15,196 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784564018428","jancode_2":"1928771012000","rfid":"00DD20220702000058000117"},"message":"変換に成功しました。"}

2022-08-04 14:50:19,156 | INFO | Start call API

2022-08-04 14:50:19,157 | INFO | RFID code: 00DD20220702000058000115

2022-08-04 14:50:19,157 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:19,157 | INFO | Try start

2022-08-04 14:50:19,157 | INFO | Try end

2022-08-04 14:50:19,158 | INFO | {"rfid":"00DD20220702000058000115","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:19,158 | INFO | Finally

2022-08-04 14:50:19,158 | INFO | POST API: {"rfid":"00DD20220702000058000115","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:19,179 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784896379693","jancode_2":"1928793015508","rfid":"00DD20220702000058000115"},"message":"変換に成功しました。"}

2022-08-04 14:50:56,422 | INFO | Start call API

2022-08-04 14:50:56,422 | INFO | RFID code: 00DD20220702000058000115

2022-08-04 14:50:56,423 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:56,423 | INFO | Try start

2022-08-04 14:50:56,423 | INFO | Try end

2022-08-04 14:50:56,423 | INFO | {"rfid":"00DD20220702000058000115","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,423 | INFO | Finally

